E_ID,E_NAME,E_DESIGNATION,E_ADDR,E_BRANCH,E_CONT_NO,SH_ID
256,Gene,"Assistant manager","1900 Block of LOMBARD ST",ME,2513725051,12
848,Marlene,"Delivery Boy","500 Block of NOE ST",CO,6829482368,353
102,Clay,"Delivery Boy","MISSION ST / 16TH ST",AL,3746956671,856
361,Baldemar,"Market analyst","2700 Block of TAYLOR ST",NY,3968979172,1
962,Claudia,"Head of marketing","CEDAR ST / POLK ST",HI,3932448384,390
443,Arya,"Warehouse in charge","1200 Block of MARKET ST",KY,2852248623,446
977,Rodney,"Marketing manager","800 Block of MARKET ST",NC,2448301670,32
936,Amelia,"Market analyst","BAY ST / POWELL ST",FL,3017545245,420
395,Stephanie,"IT support executive","1800 Block of OCEAN AV",TX,3061127061,708
344,Dejon,"Executive director","100 Block of CLINTONPARK ST",IL,6894953031,227
48,Lawrence,"Inventory manager","100 Block of APTOS AV",CO,3072705157,595
362,Felicity,"Chief finance officer","1800 Block of NEWHALL ST",MO,7245809798,211
88,Kim,"Office manager","100 Block of CEDAR ST",NY,8271644418,650
289,Morgan,"Chief finance officer","400 Block of VALENCIA ST",SC,3201665520,45
704,Hudson,"Non-executive director","STEINER ST / WASHINGTON ST",CO,3426056035,201
903,Stacy,"Engineering department manager","200 Block of BRANNAN ST",SC,1233066378,564
315,Peter,"Chief finance officer","800 Block of BRYANT ST",KS,6263485134,138
501,Beth,"Warehouse in charge","2200 Block of CHESTNUT ST",NY,1354925878,57
812,Devon,"Market analyst","ADA CT / OFARRELL ST",MO,6143377957,128
953,Jonathan,"Executive director","1600 Block of WEBSTER ST",CT,1029837290,33
830,Benita,Director,"4800 Block of GEARY BL",MA,9313787148,936
656,John,"Block development manager","1100 Block of SUNNYDALE AV",WA,9053980373,762
935,Jan,"Assistant manager","300 Block of CHATTANOOGA ST",OR,2836649349,838
762,Robert,"Market analyst","ELIZABETH ST / DIAMOND ST",VA,1786274009,215
698,Kaitlyn,"Material handling executive","1400 Block of BAKER ST",NC,1300453861,818
294,Stephan,"Fleet manager","1600 Block of FOLSOM ST",WV,6518015418,780
535,Emma,"Transport manager","300 Block of PRAGUE ST",CA,7774474168,40
357,Monica,"Executive director","400 Block of BAY ST",IL,5796916149,366
468,Pamala,"Warehouse manager","1600 Block of THE EMBARCADERONORTH ST",AZ,2618359567,678
798,Matt,"Sales manager","1100 Block of FITZGERALD AV",WA,2073271791,703
497,Kristie,"Delivery Boy","4600 Block of 18TH ST",VA,8030257579,180
841,Lee,"In House logistics executive","0 Block of MAIDEN LN",VA,1610528704,214
521,Roger,"Technical support executive","100 Block of KISKA RD",SD,4105997340,408
2,Zoya,"Transport manager","400 Block of MASON ST",TN,9250747856,902
637,Robert,"Inventory manager","1200 Block of HAIGHT ST",ID,8907221376,763
407,Danny,"Branch manager","800 Block of ELLIS ST",MS,5519170607,168
87,Ryker,"Branch manager","800 Block of BRYANT ST",CO,4444871583,723
894,Zelda,"Inventory manager","2300 Block of VICENTE ST",OH,9892285623,438
708,David,"Inventory manager","MISSION ST / RUSSIA AV",VA,6155699440,162
311,Jacquelin,"In House logistics executive","DOLORES ST / 30TH ST",VA,2539275235,246
888,Ardis,"Delivery Boy","1000 Block of POTRERO AV",VA,4534991454,105
678,Scott,"Chief executive officer","17TH ST / SHOTWELL ST",NC,9411155106,308
734,Alexia,Manager,"200 Block of LOWELL ST",NH,1161903173,172
640,Donnell,"Inventory manager","2400 Block of MISSION ST",NY,7858706884,775
189,Trent,"Marketing manager","0 Block of AUGUST AL",OR,1967221186,333
685,Gerald,"Material handling executive","MISSION ST / FAIR AV",WV,9336147887,548
617,Zakariya,"Engineering department manager","300 Block of CAPP ST",IL,8437782692,665
508,Artie,"Delivery Boy","3500 Block of FILLMORE ST",GA,4162410124,305
406,Ryan,"Block development manager","0 Block of JONES ST",FL,3864558057,938
132,Albertha,"Assistant manager","1000 Block of VANNESS AV",NC,2019622576,714
785,Carolyn,"Market analyst","100 Block of SANJUAN AV",NY,1837040341,251
113,Ilana,"Office manager","900 Block of GRANT AV",MI,4235755436,330
951,Christa,"Market analyst","0 Block of HANCOCK ST",NJ,4933964760,69
169,Bobby,"Head of marketing","700 Block of MISSION ST",KS,9986862728,969
984,Laurence,"Head of marketing","2900 Block of JACKSON ST",SD,2460523574,974
881,Trevon,"Sales manager","1100 Block of MARKET ST",NM,3243646644,526
883,Jason,"Material handling executive","1600 Block of INDIANA ST",IN,4932358514,510
735,Ramona,"Project director","FULTON ST / 5TH AV",NH,1419382893,444
120,Harvey,"Transport manager","200 Block of LAKEVIEW AV",DC,6456637698,503
92,Ericka,"Marketing manager","1000 Block of MARKET ST",TX,4615496293,109
618,Scott,"Sales manager","DAVIS ST / CLAY ST",IL,6419268208,823
768,Shirley,"Transport manager","200 Block of INTERSTATE80 HY",TX,3258758083,147
619,Nevaeh,"Project director","FITZGERALD AV / GRIFFITH ST",CO,9823103962,625
393,Rayburn,"Sales manager","LEAVENWORTH ST / ELLIS ST",TX,5931525319,695
127,Rayburn,Manager,"400 Block of JONES ST",CA,5199096406,983
329,Sharyn,"Fleet manager","MISSION ST / 24TH ST",CA,4926013012,82
839,Leslie,Manager,"RUSSIA AV / ATHENS ST",IL,1385206446,397
787,Ericka,"IT support executive","BRANNAN ST / 9TH ST",SC,7592482439,599
658,Curtis,"Sales manager","200 Block of ASHBURY ST",IL,1575826863,306
302,Alessia,"Fleet manager","1200 Block of THE EMBARCADERONORTH ST",CA,4826890428,536
959,Bridgett,"Warehouse in charge","100 Block of OFARRELL ST",MS,1171287473,20
467,Kelly,"Project director","0 Block of BRADY ST",IL,3594123975,515
642,Francis,"Project director","ANZA ST / SPRUCE ST",NY,7051750919,332
472,Stephania,"Warehouse manager","1600 Block of HAIGHT ST",GA,6886408134,127
700,Zella,"Non-executive director","FRANKLIN ST / GOLDEN GATE AV",WV,7077868681,958
305,Tiffany,"Assistant manager","JACKSON ST / GRANT AV",OH,4425132485,42
676,Bernard,"HR manager","JONES ST / STEVELOE PL",MN,3975638935,977
602,Parth,"Chief executive officer","1400 Block of WASHINGTON ST",LA,8049380718,460
175,Arlene,"Warehouse in charge","15TH AV / SHELDON TR",CA,6417574125,659
679,Ronnie,"Delivery Boy","800 Block of MARKET ST",MA,2458047806,197
412,Anne,"Project director","400 Block of SUTTER ST",CT,4345935028,540
486,Kathleen,"Delivery Boy","200 Block of 6TH ST",WV,4167720507,178
899,Jalen,Manager,"1400 Block of 19TH AV",NY,4565205218,202
123,Jensen,"Warehouse in charge","1900 Block of UNION ST",OH,1029848581,632
180,Stanley,"Warehouse in charge","SUTTER ST / LARKIN ST",WV,6076587686,25
433,Stanley,"Warehouse manager","0 Block of LAGUNA ST",MD,4382867697,990
244,Pamela,"Warehouse manager","0 Block of CHENERY ST",IL,8529787345,913
147,Isabela,"Inventory manager","MISSION ST / 13TH ST",NC,2933328030,371
634,Tiffani,"Project director","1700 Block of POST ST",NJ,1549574380,514
999,Ora,"IT support executive","400 Block of JONES ST",MI,5348595059,707
477,Crystal,"IT support executive","0 Block of ADAIR ST",GA,8326159645,473
746,Todd,"Engineering department manager","6TH ST / MISSION ST",IL,4303568430,847
287,Frederick,"Delivery Boy","TAYLOR ST / ELLIS ST",DE,4386754323,815
310,Makala,"Executive director","0 Block of NEWTON ST",CA,8824594477,928
889,Wayne,"Warehouse manager","500 Block of CAPP ST",OK,1096489886,210
512,Bart,"Office manager","11TH ST / MINNA ST",MO,3305516916,793
693,Leighann,"Branch manager","HAIGHT ST / STANYAN ST",FL,6982317596,872
670,Christina,"Warehouse in charge","2400 Block of SAN BRUNO AV",KS,6215794970,298
238,Edith,"HR manager","300 Block of 30TH AV",MO,2452732341,941
400,Milburn,"HR manager","4200 Block of GEARY BL",MT,1402030924,731
398,Loren,"Fleet manager","400 Block of HAIGHT ST",OH,1812999737,500
955,Zoie,"Delivery Boy","1200 Block of POLK ST",IL,6234964560,142
193,Coleman,"Warehouse manager","1500 Block of MARKET ST",NY,2906446799,787
33,Jennifer,"Engineering department manager","FELL ST / STEINER ST",MA,6522949251,749
786,Jensen,"Block development manager","MISSION ST / 16TH ST",CT,3669773727,304
811,Cristina,"Transport manager","MISSION ST / FRANCIS ST",VA,3993420544,30
615,Annamaria,"Delivery Boy","HYDE ST / GROVE ST",NC,5372626672,477
18,Jennie,"Project director","2400 Block of SAN BRUNO AV",WA,8311555346,52
114,Eldon,"Warehouse manager","200 Block of BATTERY ST",SC,7612488075,73
340,Tammi,"Office manager","0 Block of CLARION AL",OH,6431033790,691
649,Elise,"Chief finance officer","FRANKLIN ST / IVY ST",ME,7665617991,786
778,Twanna,"Market analyst","4000 Block of 19TH AV",TX,4815198694,68
885,Dawn,"Head of marketing","0 Block of TAYLOR ST",NM,9875605267,630
69,Gael,"Market analyst","26TH ST / TREAT AV",KY,5913610613,357
288,Joao,"Technical support executive","800 Block of SOUTH VAN NESS AV",HI,7009589164,455
898,Muriel,"IT support executive","4300 Block of 25TH ST",KS,3097734889,947
473,Valeria,"Inventory manager","1900 Block of 14TH AV",KS,3349318383,589
23,Yasmeen,"In House logistics executive","1200 Block of HOWARD ST",TX,2261795235,863
505,Cecilia,"Material handling executive","800 Block of BURNETT AV",PA,8692599127,668
401,Brent,"Transport manager","1500 Block of UNION ST",NJ,3288511772,206
988,Gray,"Non-executive director","2400 Block of CALIFORNIA ST",VT,9918649402,835
493,Kenny,"Transport manager","400 Block of 26TH AV",AL,5243247634,315
432,Jasmine,"Chief finance officer","14TH ST / FOLSOM ST",SD,1058029786,553
948,Kelly,"Chief finance officer","COLUMBUS AV / GREEN ST",IL,2276744816,861
821,Alysha,"Technical support executive","1500 Block of SLOAT BL",IL,6595878396,279
435,Rashawn,"Sales manager","800 Block of BRYANT ST",CT,9703448223,75
11,Rita,Manager,"300 Block of GOLDEN GATE AV",WI,7945949825,895
204,Jaime,"Office manager","800 Block of BRYANT ST",TX,4209429743,866
332,Debora,"HR manager","800 Block of BRYANT ST",NM,9621041593,792
179,Jan,"Head of marketing","0 Block of LATONA ST",TX,9768020592,191
503,Van,"Office manager","3200 Block of 20TH AV",OR,1791431137,59
431,Jalen,"Marketing manager","LARKIN ST / SUTTER ST",MA,7461936580,748
865,Samual,"Office manager","0 Block of DUNCAN ST",MN,6828905297,693
874,Holli,"IT support executive","400 Block of GROVE ST",AL,2273691148,955
513,Latasha,"Block development manager","3200 Block of 20TH AV",NY,5144195389,538
814,Alexia,Director,"2900 Block of 26TH ST",MO,7057705428,169
236,Beth,"Delivery Boy","1100 Block of FILLMORE ST",TX,2261152495,924
957,Valencia,"IT support executive","400 Block of EDDY ST",CA,1160558300,579
